State,make,model,index
TN,BMW,4-SERIES,0
TX,BMW,4-SERIES,1.11
UT,BMW,4-SERIES,0
VA,BMW,4-SERIES,0
VT,BMW,4-SERIES,0
WA,BMW,4-SERIES,0
WI,BMW,4-SERIES,0
WV,BMW,4-SERIES,0
WY,BMW,4-SERIES,0
AK,BMW,5-SERIES,0
AL,BMW,5-SERIES,0
AR,BMW,5-SERIES,11
AZ,BMW,5-SERIES,0
CA,BMW,5-SERIES,7.76
CO,BMW,5-SERIES,0
CT,BMW,5-SERIES,11
DC,BMW,5-SERIES,0
DE,BMW,5-SERIES,0
FL,BMW,5-SERIES,0.43
GA,BMW,5-SERIES,4.38
HI,BMW,5-SERIES,0
IA,BMW,5-SERIES,0
ID,BMW,5-SERIES,0
IL,BMW,5-SERIES,2.79
IN,BMW,5-SERIES,0
KS,BMW,5-SERIES,0
KY,BMW,5-SERIES,0
LA,BMW,5-SERIES,0
MA,BMW,5-SERIES,0
MD,BMW,5-SERIES,0
ME,BMW,5-SERIES,0
MI,BMW,5-SERIES,0
MN,BMW,5-SERIES,0
MO,BMW,5-SERIES,0
MS,BMW,5-SERIES,0
MT,BMW,5-SERIES,0
NC,BMW,5-SERIES,6.13
ND,BMW,5-SERIES,0
NE,BMW,5-SERIES,0
NH,BMW,5-SERIES,11
NJ,BMW,5-SERIES,0
NM,BMW,5-SERIES,3.12
NV,BMW,5-SERIES,0
NY,BMW,5-SERIES,0
OH,BMW,5-SERIES,0.94
OK,BMW,5-SERIES,0
OR,BMW,5-SERIES,0
PA,BMW,5-SERIES,0
RI,BMW,5-SERIES,0
SC,BMW,5-SERIES,0
SD,BMW,5-SERIES,0
TN,BMW,5-SERIES,0
TX,BMW,5-SERIES,2.16
UT,BMW,5-SERIES,0
VA,BMW,5-SERIES,0
VT,BMW,5-SERIES,0
WA,BMW,5-SERIES,0
WI,BMW,5-SERIES,0
WV,BMW,5-SERIES,0
WY,BMW,5-SERIES,0
AK,BMW,6-SERIES,0
AL,BMW,6-SERIES,0
AR,BMW,6-SERIES,0
AZ,BMW,6-SERIES,0
CA,BMW,6-SERIES,1.85
CO,BMW,6-SERIES,0
CT,BMW,6-SERIES,16.88
DC,BMW,6-SERIES,0
DE,BMW,6-SERIES,0
FL,BMW,6-SERIES,1.17
GA,BMW,6-SERIES,0
HI,BMW,6-SERIES,0
IA,BMW,6-SERIES,0
ID,BMW,6-SERIES,0
IL,BMW,6-SERIES,8.94
IN,BMW,6-SERIES,0
KS,BMW,6-SERIES,0
KY,BMW,6-SERIES,0
LA,BMW,6-SERIES,0
MA,BMW,6-SERIES,0
MD,BMW,6-SERIES,0
ME,BMW,6-SERIES,0
MI,BMW,6-SERIES,0
MN,BMW,6-SERIES,0
MO,BMW,6-SERIES,0
MS,BMW,6-SERIES,0
MT,BMW,6-SERIES,0
NC,BMW,6-SERIES,0
ND,BMW,6-SERIES,0
NE,BMW,6-SERIES,0
NH,BMW,6-SERIES,0
NJ,BMW,6-SERIES,0
NM,BMW,6-SERIES,0.7
NV,BMW,6-SERIES,0
NY,BMW,6-SERIES,0
OH,BMW,6-SERIES,0
OK,BMW,6-SERIES,0
OR,BMW,6-SERIES,0
PA,BMW,6-SERIES,0
RI,BMW,6-SERIES,0
SC,BMW,6-SERIES,0
SD,BMW,6-SERIES,0
TN,BMW,6-SERIES,0
TX,BMW,6-SERIES,0
UT,BMW,6-SERIES,0
VA,BMW,6-SERIES,0
VT,BMW,6-SERIES,0
WA,BMW,6-SERIES,0
WI,BMW,6-SERIES,0
WV,BMW,6-SERIES,0
WY,BMW,6-SERIES,0
AK,BMW,7-SERIES,0
AL,BMW,7-SERIES,0
AR,BMW,7-SERIES,9
AZ,BMW,7-SERIES,0
CA,BMW,7-SERIES,3.96
CO,BMW,7-SERIES,0
CT,BMW,7-SERIES,0
DC,BMW,7-SERIES,0
